SECTION,SIZE,RACK
A,12X12X6,RACK_1
A,6X6X6,RACK_1
A,15X12X4,RACK_1
A,14X10X6,RACK_1
A,12X9X3,RACK_1
A,19X12X3,RACK_1.5
A,16X10X5,RACK_1.5
A,16X9X3,RACK_1.5
A,15X11X7,RACK_2
A,18X12X6,RACK_2
A,8X8X8,RACK_2
A,10X8X6,RACK_2
A,16X6X6,RACK_2
A,12X9X6,RACK_2
A,12X12X6,RACK_2
A,17X14X5,RACK_2.5
A,17X14X9,RACK_2.5
A,14X10X10,RACK_3
A,12X10X8,RACK_3
A,12X12X12,RACK_3.5
A,14X14X10,RACK_3.5
A,14X14X14,RACK_3.5
A,14X14X8,RACK_4
A,10X10X10,RACK_4
A,20X20X4,RACK_4
A,18X12X12,RACK_4
A,24X14X8,RACK_4
A,16X16X8,RACK_4
TKTP,14X10X6,RACK_5
TKTP,9X6X4,RACK_5
TKTP,10X4X3,RACK_5
TKTP,13X10X4,RACK_5
TKTP,9X9X4,RACK_5
TKTP,16X6X6,RACK_5
TKTP,8X5X4,RACK_5