Date,Day_of_the_week,App,Minutes,Category
8/20,Sunday,TIKTOK,167,Entertainment
8/20,Sunday,INSTAGRAM,130,Social Media
8/20,Sunday,MESSAGES,31,Other
8/20,Sunday,SNAPCHAT,25,Social Media
8/20,Sunday,SPOTIFY,15,Entertainment
8/21,Monday,INSTAGRAM,48,Social Media
8/21,Monday,TIKTOK,45,Entertainment
8/21,Monday,MESSAGES,24,Other
8/21,Monday,SPOTIFY,10,Entertainment
8/21,Monday,SNAPCHAT,12,Social Media
8/22,Tuesday,TIKTOK,78,Entertainment
8/22,Tuesday,INSTAGRAM,67,Social Media
8/22,Tuesday,MESSAGES,43,Other
8/22,Tuesday,SPOTIFY,10,Entertainment
8/22,Tuesday,SNAPCHAT,15,Social Media
8/23,Wednesday,TIKTOK,91,Entertainment
8/23,Wednesday,INSTAGRAM,34,Social Media
8/23,Wednesday,MESSAGES,23,Other
8/23,Wednesday,SPOTIFY,25,Entertainment
8/23,Wednesday,SNAPCHAT,6,Social Media
8/24,Thursday,TIKTOK,149,Entertainment
8/24,Thursday,INSTAGRAM,61,Social Media
8/24,Thursday,MESSAGES,74,Other
8/24,Thursday,SPOTIFY,12,Entertainment
8/24,Thursday,SNAPCHAT,11,Social Media
8/25,Friday,TIKTOK,47,Entertainment
8/25,Friday,INSTAGRAM,102,Social Media
8/25,Friday,MESSAGES,29,Other
8/25,Friday,SPOTIFY,30,Entertainment
8/25,Friday,SNAPCHAT,10,Social Media
8/26,Saturday,TIKTOK,154,Entertainment
8/26,Saturday,INSTAGRAM,58,Social Media
8/26,Saturday,MESSAGES,17,Other
8/26,Saturday,SPOTIFY,16,Entertainment
8/26,Saturday,SNAPCHAT,19,Social Media